0064,CA_LOGIN
0065,CH_ENTER
0066,CH_SELECT_CHAR
0067,CH_MAKE_CHAR
0068,CH_DELETE_CHAR
0069,AC_ACCEPT_LOGIN
006A,AC_REFUSE_LOGIN
006B,HC_ACCEPT_ENTER_NEO_UNION
006C,HC_REFUSE_ENTER
006D,HC_ACCEPT_MAKECHAR_NEO_UNION
006E,HC_REFUSE_MAKECHAR
006F,HC_ACCEPT_DELETECHAR
0070,HC_REFUSE_DELETECHAR
0071,HC_NOTIFY_ZONESVR
0072,CZ_ENTER
0073,ZC_ACCEPT_ENTER
0074,ZC_REFUSE_ENTER
0075,ZC_NOTIFY_INITCHAR
0076,ZC_NOTIFY_UPDATECHAR
0077,ZC_NOTIFY_UPDATEPLAYER
0078,ZC_NOTIFY_STANDENTRY
0079,ZC_NOTIFY_NEWENTRY
007A,ZC_NOTIFY_ACTENTRY
007B,ZC_NOTIFY_MOVEENTRY
007C,ZC_NOTIFY_STANDENTRY_NPC
007D,CZ_NOTIFY_ACTORINIT
007E,CZ_REQUEST_TIME
007F,ZC_NOTIFY_TIME
0080,ZC_NOTIFY_VANISH
0081,SC_NOTIFY_BAN
0082,CZ_REQUEST_QUIT
0083,ZC_ACCEPT_QUIT
0084,ZC_REFUSE_QUIT
0085,CZ_REQUEST_MOVE
0086,ZC_NOTIFY_MOVE
0087,ZC_NOTIFY_PLAYERMOVE
0088,ZC_STOPMOVE
0089,CZ_REQUEST_ACT
008A,ZC_NOTIFY_ACT
008B,ZC_NOTIFY_ACT_POSITION
008C,CZ_REQUEST_CHAT
008D,ZC_NOTIFY_CHAT
008E,ZC_NOTIFY_PLAYERCHAT
008F,SERVER_ENTRY_ACK
0090,CZ_CONTACTNPC
0091,ZC_NPCACK_MAPMOVE
0092,ZC_NPCACK_SERVERMOVE
0093,ZC_NPCACK_ENABLE
0094,CZ_REQNAME
0095,ZC_ACK_REQNAME
0096,CZ_WHISPER
0097,ZC_WHISPER
0098,ZC_ACK_WHISPER
0099,CZ_BROADCAST
009A,ZC_BROADCAST
009B,CZ_CHANGE_DIRECTION
009C,ZC_CHANGE_DIRECTION
009D,ZC_ITEM_ENTRY
009E,ZC_ITEM_FALL_ENTRY
009F,CZ_ITEM_PICKUP
00A0,ZC_ITEM_PICKUP_ACK
00A1,ZC_ITEM_DISAPPEAR
00A2,CZ_ITEM_THROW
00A3,ZC_NORMAL_ITEMLIST
00A4,ZC_EQUIPMENT_ITEMLIST
00A5,ZC_STORE_NORMAL_ITEMLIST
00A6,ZC_STORE_EQUIPMENT_ITEMLIST
00A7,CZ_USE_ITEM
00A8,ZC_USE_ITEM_ACK
00A9,CZ_REQ_WEAR_EQUIP
00AA,ZC_REQ_WEAR_EQUIP_ACK
00AB,CZ_REQ_TAKEOFF_EQUIP
00AC,ZC_REQ_TAKEOFF_EQUIP_ACK
00AF,ZC_ITEM_THROW_ACK
00B0,ZC_PAR_CHANGE
00B1,ZC_LONGPAR_CHANGE
